labels,posts,,
Free,Briitaaniyaan miseensummaa Gamtaa Awrooppaa waggaa 47tin ifatti adda baatetti.,,
Hate,Sangaa amaaraa maal jatte,,
Hate,Mootummaa Amma jiru kana uummata isa kamtu filateree  anatu siif beekaa miti yoo tahe waanta raawwachaa jirtan kana hawaasa kam mariisistaniite murteessituree filannoo gaggeessa kan jettani hayyoota Oromo Mana hidhaatti naxanii eenyu waliin gaggeessa u waan hin fakkanee hin munaagiin Afuuftu arrabni si bareeti afuufta dimokiraasiin keessan nama ragaa namatti bahu golga duuba dhaabati kana hunda afuuta,,
Hate,Kijiba akkanaa osoo dhaabdanii woyya Bara  barsiisota COC hin milkoofne qaxarrii dhoowwattan amma immoo ofii rakkannaan afuufuu jalqabdan Pp  Normaljawwee koo,,
Hate,islaamummaa malee amantiin kaan dhugaa waan hin taaneef homaa hin miidhamu,,
Hate,Oboleeysa kiyya NGOn qorii  amaaraan irraa  Beela baatu  Malee hojiin  Ummataaf hojjatamaa Jiru hin jiru Garuu dhugaa ummataa  Ukkaamsuu fi Mootummaa wajjiin  Hawaasa ukkaamsanii  Sirna barbaadan jaaruu Keessatti hirmaacha jiran ,,
Free,Qabsoon Ammaan achi goonu daandii cufuuf dinagdee ugguruu osoo hin tain gubbaadhaa hanga jalaatti caasaa namticha Gantuu kanaatifii kolkoleedhan isaaf ergamtu mogolee caccabsuu irratti fuulleffachuu qaba Qeerroon biyyaa diina hamaa kanaaf qoricha sirrii akka kennituuf shakkii hin qabu   Kanuma Keenyas Oluma HawiAnole,,
Hate,Yaadni gaariidha garuu dhiifama kan jalqabuu qabu eenyuuree tokko sii mitii Jawaar irratti osoo mana murtiitti hin dhiyaatin finxaleeyyii Amaaraa waliin kan itti duulaa ture maaf gahe inni bahe jijjirama kana keesaatti irraffatanii isa balleessuuf boolla qotuun hojii keessan tae Kaleessa oromoon maqaa ABOtiin hara moo maqaa dabboo shanee jedhu itti baaftanii ajjeessuun hiidhuun hojii keessan maaf taeree finxalleeyyiin Amaaraa oromoo fi oromiyaa keesaatti waa meeqa tae siin jibbuurra hin deebine sababni isaas waan fedhee gootaniis galata jaraarra hin argatanii Yoo wayyannee irra baratan tae haga yoomitti sagalee nama ukkamsitanii turtu kan biraa dhiisaatti siin mee sagalee Lammaa magarsaatu ukkamsitanii eenyuutu siin amanaree Mee dhiifama ofumaa jalqabaawarri siin mormuus siin jajjabbeessutti deebia adaraa seenaa siyaasa wal balleessuu itiyoophiyaa fudhatanii biyya hin diiginaa kan hiitaan hiikaa Kan ajjeesstan maatii isaanii jajjabbeessaa kan abbaa balleesseef ilmi haa gaafatamuu seerri jedhu addunyarra hin jiru waan taeef Of tulumaan biyyi hin ijaaramu Wal deggarruun malee Dhugaan ni moata ummaanni irra aana  Tokkummaa miidiyaarra osoo hin taane isa onneerra maddeen biyyi ijaarama Aab Tayyee kanaaf yaada kana dursa ofii kee gaafadhu siyaasa paartii keetiif jette waan oromoo gootan of ilaalakun hin taane tanaan dhimmi dhimma yerootti malee akka wayyannee tauun hin hafu seenan keessa dabare kana waan taeef,,
Hate,Kijibdu duwwaan Picture itti fayyadamte kan Ukraine  keessatti tahedha holola hin buufinaa hattuu duwwaan,,
Free,Lammiilee Ityoophiyaa Sudaanitti godaanaan deebisuuf mootummaa Sudaan waliin mariatamaa jiraachuu kaasaniiru,,
Free, Tokko duula ololaa dandamatuu dha,,
Free, Guyyaa haraa akka lakkoofsa Minisotaataatti ganama keessaa saaa 10 irratti sagantaa Fundraising qophaaherratti hirmaachuun OMN miidiyaa keessan utubaa,,
Hate,Yaa afufuttuwani billixigina ofii madalla duraa kijibaa kessaa dhisaa biyyii hayyuun oromo itti saliphatee ykn itti gidirfamuu waee barinota maqaa dhamuni ofii soba malee nama biraa sobuu hin dandessuu bara daribee baratota yunivarsiti nannoo Amara barattani maaf hin dubanee haraa dutte galitte waee haramee oromiya kokolotta ganituu isiin hin fafittuu gafaa rabbii,,
Free,"Naannoo Kibbaatti guyyiitii 2Normalkeessatti ka'umsa isaa Burjii, Ammaarroo fi Yaa'a Balloo taasisuudhan",,
Free,hhhhhhh baciii hayluu addunyaa abiy dirqiitti oromoo taasftaa abiy guyyaa dhaloota MINILIK   eeggatee seenaa akaakileesaa calii calanqoofi anolee deebise ammas oromoon irree tokko sirna nama nyaataa abiyyii kana ufirraa garagalchuudha qaba yoo dhuguma oromoo taee biyya kanaa yaade dafee aangoo haa dabarsu,,
Hate,Haala Gadhee kana Keessattii Nu gattee deemuun sirrii hin turreem   Ammas Waaqayyoo Sii Waliin Haa Tauu Milkaai,,
Hate, yakkichis abo shaneetu achitti walitti qabamee maqaa foollee jedhuun hayyama mootumma meshaa waraanaa gurguddaa wajjin qabaman jedhuun olola sobaa iratti oofaa jiru,,
Hate,Jarri kun suuraan nama isaan ajjeesani fb  gubbaa akka hin baane godhu sa Suuran ijoollee kanaa hundinuu iddoo hundatti report godhamaa jira natti fakkaate,,
Free,Jiraattotni magaalaa Naqamtee tokko tokko dhabamuu nagaa waggaa darbetti magaalichatti uumamee tureen abbootiin qabeenyaa gara magaalaa biraatti deemaa jiru jedhan httpswwwvoaafaanoromoocomahtml Namootni hojii daldalaan jiraatan tokko tokko ammoo sababaa cufamuu tajaajila bilbilaafi intarneetii hojiisaaniirratti danqaa tahuu himan Kantiibaan Naqamtee Obbo Bariisoo Tamasgeen Magaalaa Naqamtee amma tasgabbii gaariitu jira ,,
Free,Abbo yero tokko tokko ni barreessa jedhaa wanti ati boconcortu kun na jibbisisaa beeki Oromoo halkaani guyyaa akka baalaatti harcauu dhiistee namitti Oromoo diinatti gurgurtee huuxatti dhokattee nutti faarsarta amma,,
Free,Dhugaa hin haalamnedha Ijaarsa biyyaa galma barbaadamuun gahuuf kopha kophaa fiiguurra humna misoomaa fi jijjiiramaa abdii biyyaa kan tae humna kanaaf xiyyeeffannoon kennamuufi qaba Aangoon hara harka Oromoo galee Dhiibbaa humni kun taasiseen tauun beekamaadhaKanaaf Tokkummaan Jijjiiramaaf haa tau Jabaadhaa,,
Free,"Waldorgommii kiiloo meetra 21 magaalaa Bishooftuutti kaleessa Amajjii 24,2012 gaggeeffameen atleetoonni dhiirotaa fi dubartootaa hirmaataniiru",,
Hate,Duutaniittu nama qabeenya uummataa nyaatee uummata dararee ofii of ajjeese akkamitti siidaan dhaabamaaf borus akkasuma godhaadhaawayyoo siniif,,
Free,Warri biltsiginnaa qeeqxan bilstinnaan waggaa tokkoo hin guunne ABO n sia sadi qoqqoodamee amma afraffaarra jira,,
Hate,Gantuu akka keetiti miti isaan hayyoota,,
Free, Dura TaaÃ¢â‚¬â„¢aan Komishiniichaa dhimmichaa mootummaan Itiyoophiyaa gara Gamtaa Afrikaatti fiduu isaaniif galateffataniiru,,
Free,dhimmi Afaan Oromoo Afaan Federaala tauu fi fayidaan Oromoon Finfinnee irra argatu dubatame xumuramuu qaba,,
Free,"Akka Dhaabbata fayyaa Addunyaatti, barnoonni quunnamtii baayyina saalaa mana barnotaafi mana barnootaan alatti argamu ''gochawwan quunnamtii saalaa, amaloota balaa fudhannaa quunnamtii saalaa fi dhukkuboota quunnamtii saalaan dadarbanii/HIV hindabalu.''",,
Hate,Duraan ODP TPLF jalaa bilisa isin baafnee  amma garuu nafxanyaa jalaa bilisa baasuu odoo hin taane waliin balleesuudha,,
Free,"Eliyaas: FARIS dhaabbata dhuunfaa biyya keessaa gama qorannoo hawaa fi 'artificial intelligence' irratti hojjetu dha. Waggoota muraasaa asis hojiiwwan qorannoo hawaa, 'Rocket science' fi 'artificial intelligence' walin walqabatu hojjechaa tureerra.",,
Free,"Rakkoo mudachaa jirurratti yaada walxaxaa fi walfalmisiisaa kaasuun kanneen mootummaa muddama keessa galchuu barbaadan jiru kan jedhan Ministirri Muummee Abiy Ahmad, ''gama tokkoon nageenya eegsisuu hin daneenye jedhanii nu komatu.",,
Free, Ajandaa siyaasaa Wayyaaneetu waggoota 30n dabran hojiirra ture,,
Free,"Xumura isaa maalitti beekna"" jedhu Obbo Dhugaasaan gaaffii qabsoon hidhannoo yoom xumura argata jedhu yoo deebisan",,
Hate,Maal qaba jaartii tana amma fudhatu osoo si fudhatee!?,,
Hate,Dhamaaan dhaamsa maalii fudhata  Osoo nama gorsi fayyadu taee silaa kanuma Jawar fudhata ture   Kun galtuudha  Galtuu funyaan qabanii irraa fuudhuudha malee lama dogongoruun hin taatu,,
Hate,dhugaadha sareen baduun saree gara ufii nyaati jawaar kan jibameef dhugaa qofa waan dubatuuf namni dhugaa dubatuuf dhadhaa kadhatu hin jaalatamu,,
Hate,Taye  dursa jawaarifi hidhamtoota  oromoo fi biyyatti hiika booda jilbiifadha ummata oromoo dhiifama gaafadha ummanni utubaa sibiilati waraanan bulchinaan minilikii kesan waliin awwaalamee jira,,
Free,Sirnicha irratti preezdaanti Saahilawarqi Zawdee Preezdaantii Mootummaa naannoo Amaaraa obbo Aaganyaw Tashaaggar dabalatee hoggantoonni hojii olaanoo federaalaa fi naannoo argamaniiru,,
Free,qonnaan bultoota,,
Free,Loltoonni raayyaa ittisa biyyaa achi jiran ,,
Free,Seera Sirna gadaa kan cabse isaani maaliif yoo jettan hanga ammaa eessa turan hanga ummanni nagaa ajjeeffamee karaattii gatamu moo isaan abbaa gadummaa amma argatan sirni gadaa motummaa maalii jedhee looga hin beeku dhugaaf dhugaa irratti kan hundaae dha Kanaaf akka amma jedhan kana dhiisanii hatattamaan koree dhaabanii rakkoo jiru furu wayya malee haalli ittijn deema jiran kun sirrii natti hin fakkaatu dhugaaf hojjadhaa ,,
Free,Walumaagalatitti leenjitoota 3normal28 kan kennamu yammuu ta'u leenjiin kun akka Oromiyaatti Wiirtuu 7 irratti kennama,,
Free,Wal araabsu fi wal xiqqeesun aadaa keenya miti  Namni dogoggoorun wantuma jiru dogoggooree dhifama yoo gaafaate arraabsu kabajaa Oromoon waliif qabun falla taa Kanaaf arraabson hin barbaachisu,,
Free,nAkka EBCn gabaaseetti rakkoo naannichatti muudateef kan itti gaafatamu garee ABUT ta’uu ibsaniiru,,
Hate,Dhimma akkanaa kana keessa wannumti isin galchu tokkooyyuu hin jiru diigumsaaf wixxifachuuf yootae malee kijibdoota haadha keessanii,,
Hate,Sareen lafa ofii teessu nama techistii jedhu mitiire Too olmaan goota kanaa tufatamuu fi qeeqamuu tae,,
Free,Mallas yeroo biyya bulchu san Ummata akka kesssanii warqii kana irraa dhalachuu kootiin yoomuu gammachuun koo olaanaadha jedhaa ture,,
Free,Xalayaa Imbaasiin Ameerikaa magaalaa Finfinnee jiru Jawaar lammummaa isaa dhiisuu ibsu kun gaafa Amajji 06 bara 2020 barraa'e.,,
Hate,Gadi galoo yoom nama taate dandeettii akka sii qabdan yartuun ufi ilaali mee Haacaaluu ajjeestanii ,,
Hate,namittii qurcii kun eessaa baatee nama arrabsiti,,
Free,Siyaasa biyya kanaa mariin maleehidhaa fi ajjeechaanin furmaata kenna jechuun abadan hin dandaaamu Pirofessor Mararaa GuddinaaWayyaaneenisNafxanyaanisLamaanuu diina keenyaNagaan bulaaHalkan gaarii,,
Hate,Harreen harreef deegarsa baati Abootii garaa qofa kun Nafxanyoota haadha keessan,,
Free,Ethopian nitorki  beekaa akkas gooti Nagaa sumaaleef oromoo hin feetu,,
Hate,Isin sareedha dhimmaa tplf maal isin galchee waaee saba keessaan kan Mana hidhaati gadii guuramani akka bofaatti ajeefama jiran maaf hin mariattan kanaaf isin artistoota oromoo osoo hin taane artistoota partiti ,,
Hate,Ati fiishkaa kee hafuufi coronaan si hafuufee kotte duudaa,,
Hate,duruu oromoo bosona malee magaalaa maalitti beeka,,
Hate,Oromoodha martuu nafxanyaan akkaa kettii ha bartuu,,
Hate,garuu bareechanii deeggaran ta biraan beekhuu dheengadda hoggaa jeniraalticha Iiraan ajjeesu hedduun saanii ililchuu turan,,
Hate,tangafa wayyane wajin umata oromoo fixefuu ganaa tenyafi amas nafxanya waliin nufiixufii  gantuun gantuu shumtii,,
Free,Guyyaa dubartootaa idil addunyaa sababeeffachuun barattoota shamarranii qoramaata kutaa 12ffaa fudhachaa jiran daawwachuu kootti daraan gammadeera jedhan aadde Adaanach,,
Hate,kun jibbaa amantaarraa qaban agarsiisa akka shamarran muslimaa hin baranne godhanii hawaasa islaamaa mirga walqixxummaa dhabsiisuuf waan yaadamaa ture har'allee iddoo tokko tokkotti muldhachaa jira ammas taanaan warra amantii minlik qabatee deemu kanaan waliif hin gallu,,
Hate,koroonaan hamaan isiniidha barsiisaan harree miti miindaa durgookee guyyaa tokkoo jiatti fudhatee wayitii dabalataaa siif barsiisu,,
Free,Rabbiin nama jennataa isin haa godhu,,
Free,Caamsaa bara 2003 hanga Fulbaana 2012tti hoji gaggeessaa proojaktii maddisiisa humna bishaanii Gabaa taâ€™uun erga tajaajilaniiru.,,
Hate,Moti dayuza akkana arge hin beku wly badawa motuma taye nama meqatu lala jolen tenya yero livi dhufte hagam takka mira qabdi kana hola wara kulloo ,,
Hate,Nama Xawalwallee akkana argee hin beeku ani jiruu Kiyya Keessatti,,
Hate,Egypt shira gara garaa xaxxee Libya keessatti rakkoon nageenyaa gara yaaddessaa taetti akka deemu gochaa jirtiNuti dubbii kana itti dhiyeenyaan hordofaa jirraEgypt shira xaxaa jirtu dhiistee akka harka ishee sassaabbattu akeekkachiisnaPirazidaantii Turkey Recip Tayeb ErdoganItti muddihafuura kuti,,
Free,Baayyee Nama Gaddisiisa  Ameerikaatti haati tokko ijoollee ishee sadii waliin Covidn duuteAmeerikaa kutaa biyyaa Niiw Jeersiitti maatii tokko keessaa haatii fi ijoolleen  virus CoronnaaCovid n yoo duan,,
Hate,siif hayiluu akka basaastuu nafxanyaa taatan ummanni hunduu baruu qaba,,
Free,Baayyee GalatoomaaSantu Seera               ABO ibsa hara miidiyaaf kenneen dhimma Hidhaa Guddicha Abbayyaa ilaalchisee ejjennoo akka Paartichaatti jiru ifa godhaniiruDhimmi Hidhaa Guddichaa Abbayyaa dhimma birmadummaa biyyaa waan taheef dhimma kanaan wal qabatee waan dhufuu dandau hunda ummata keenya waliin taanee tarkaanffii barbaachisaa fudhatamuu qabu hunda irratti hirmaachuuf ABOn qophii tahuu ibsaniiruAdeemsi araaraa eegalamee ture akka itti fufuu qabuu fi dubbichi karaa nagaa qofa xumuramuu akka qabu kan amannu tauyyuu kana irra darbee dubbiin dhufu jiraannaan ummata keenya waliin taanee akka dhufaatii isaatti deebisuuf nuti qophii dha jedhaniBaayyee galatoomaamurtoo sirrii fi gammachiisaa dha                                                                           ,,
Free,Filannoo haqa qabeessa gaggeessuuf Dhaabbilee hawaas sivilii kan biyya Alaa fi Gaazexesitoota biyya alaa taajjabbiif hirmaachisaa,,
Hate,warra qomcee masaraa keessaa yaasaa,,
Hate,maal jechuudha yaa jarana hanga naam tokkoof ibsa baaftan rakkina sheekoti jeddu jiru gara araaratti gara tokkumaati  wal qoqqoodu fi xiiqi walirrati bayuu irra  gara irra waliif dabruuti maaliif hin yaamina yoo dhuguma dhaabani TV kanaa kan islaama taye yok innu gara tokkoti jallate shiraa oofa jira male amanti miti,,
Free,Hidhamtootni siyaasaa kunniin sababni diddaa nyaataa eegaliniif akka deebii hin argatin kan himan yoo tau deggersa fayyaafi yaala ogeessaa waan isaa barbaachisuuf gara Hospitaala geeffamanis hanga yoonaa nyaatnis tae Gulukoosiin akka isaaniif kennamu hin hayyamin jiraachuu OMN odeeffateera,,
Hate,kan gootan dagattanii kana haasoftu taanaan hin gowwominaa odp diina oromooti ummannis beeka,,
Hate,Yaawaraabo Malbeytaa Dhaloota    Nabi Muhammad S A W Nabi M  Lubbu Ajjeesa  Yoom JaEejira Hatticha  Hanna Teetif kaate  Amma Sibeynaa,,
Hate,sanyii qurcii,,
Hate,Guyyaa gootota Oromoo bara kanaa yoo yaadannu gootota Oromoo lubbuu isaanii bilisummaa Oromoof aarsaa godhan qofa osoo hin taane bara qormaataa sanatti lubbuu isaanii aarsaaf qopheessanii Wayyaanee waliin kookkeetti wal qabanii qabsoo qeerroo fi qarree kallattii sirriin hogganaa injifannoo nu gonfachiisuuf aarsaa guddaa fi obsa fixachiisaa kan taassisaa turan kanneen akka DrLammaa,,
Free,Kkkkk atuu na dhibde kun sii galuunsaayyuu reefuu tooratti deebite kanaaf falli jiru tokkummaan hayyoota kanaa deebiuudha kan hidhamanis hiikamuudha,,
Hate,Waancaa kan kennuu fi kan fudhatu yoom dirree irratti laalamee beeka  ,,
Hate,ilaalcha moofaa fi dhippaa ati baattee deemtu kanaan eessayyuu hin geessu,,
Hate,Wanti haaran inni ummee oromoo ajjeessudhaka,,
Free,Dhugaa dubbachuuf xiyyeeffannaan dubbisuuf yaalen ture garuu hin dandeenye harka harka namatti jedha Kitaaba osoo maxxansiistanii kitaaba bareeda isiniif baha garuu  Ibsicha eenyutu baase jennee fudhachuu dandeenya Ibsa Kora dhaabichaa tauu maalin beekna Kora dhaabichaa warri jedhaman eenyun faati Koricha irratti obboo Daawud hirmaataniiru Chaappan dhaabichaa kan irra jiruuf namoota murtee kana irratti hirmaataniif hirmaachuu qaban mallattoon maalif hin mirkanoofne  Kana waan hin qabneen ibsa nama tokkoo yookan qaama muraasaa yoo taeho,,
Hate,Jawaar dabalatee hayyoota mana hidhaa keessa jiran maraa hiikaa  gaafas waliin mariataa deemuu dandeenyasanaa achi biyya ijaarra afaaniin jechaa gochaan biyya diiguun keessan nurra taree gaanfa Afrikaa raasaa jiranuti haqa qabna haqa sana faana dhaataa jirra,,
Hate,sharmuxiti atti dhuga egaa himuu dhifte bubulteti jirta afan dubatun hinqabdu us,,
Hate,nama sanyiin isaa oromoo hin taane kamiyyuu hajjeesuu qaba wbon,,
Free,israa'el,,
Free,Eeyyee haala Amma keessa jirruun Oromoon qabsaa'ee wayyaanee ofirraa buusuun dogoggora Sababnisaa kaayyoon qabsoo Oromoo wayyaanee aangoorraa buusuu qofa hin turre Beekta Kaayyoon qabsoo Oromoo mirga abbaa biyyummaa mirkaneeffachuudha Malee sirna federaalizimii sabdaneessaa diiguun paartii qeenxeen bakka buusuu miti Oromoodhaaf nafxanyaarra wayyaanee wayya Warri hara wayyaanee deggeru kakeessas Wayyaanee deggeraa turan kan jettu kana xiqqooma saalfadhu yaa qotiyyoo wayyaanee kaleessa sangaa nafxanyaa haraa Oromoon waan gaafate qaba Biyya isaarratti abbaa tahuu barbaade Kanaaf aarsaa kaffale Garuu aarsaa kaffalus qabsoon isaa boodatti deebie malee buaa hin arganne Walumaagala jaallattus jibbitus ammaan mirga ofiin of bulchuu sabaafi sablammoota biyyattii diigeen sirna qeenxee nafxanyaa diriirsa jedhanii yaaduun maraatummaadha Tigraayitti kan duultan mirga ofiin of bulchuu isaanii sarbuuf malee waan balleessan hin qaban Badii kaleessaa taanaan kolonel Abiyyis adda durummaan isaan waliin dalagaa ture TPLF paartii uummanni Tigraayi filateedha Sagaleen sabichaa kabajamuufii qaba Oromoon mirga ofiin of bulchuu uummata Tigraayi haa kabajamu jechaa jira malee Tigraayi waliin shira addaa qabaatee miti Kana hamileenkee beeka yaa sangaa nafxanyaa Qaamni hara hayyoota akka Jawar Mohammed hidhee Tigraayi irratti lola bane Oromoofis diina hamaadha Wayyaanee waliin dhimma federaalizimii sabdaneessaa irratti waliigalla Nafxanyaa waliin garuu waan irratti waliigallu tokkollee hin qabnu Nafxanyaan haras kaleessas boris diina Oromooti Atimmoo sangaa nafxanyaati ykn diqaalaa afaan barteedha   Nafxanyaan yeroo xumuraatiif ni awwaalamti Hangasuu waan feete munaagi Biyyattiin cubbuun ijaaramte kun cubbuu harcaatota nafxanyaatiin diigamti   Namoonni qabsaanii wayyaanee kuffisan mana hidhaa jiru Kaan ni ajjeefaman Diqaalaan kaleessa Wayyaaneef ergamaa turte hara gaangeenafxanyaati Gaangeen diqaalaadha ,,
Free,Jaallewwankoo   Akkuma waliin dubbanne guyyaa haraa irraa eegalee torban torbaniin kitaaba tokko cuunfaa isaa yaadrimee isaa isiniif dhiyeessa Hara ana waliin tokko jettanii akka eegaltan abdiinkoo olaanaadha Kitaabni ani hara akka jalqabaatti isiniif filadhe kan asii gadii kana   Akka dhaloota kootiif tautti kitaaba fuula  fuula sadihitti gabaabsee isiniif dhiyeesse Daqiiqaa muraasa keessatti fuula sadeen akka xumurtan abdii kooti Gama kootiin sadeen tana xumuruu kan dadhabu ni jira jedhee hin yaadu   Erga dubbistaniin booda yaada keessan naaf barreessaa Yaadota keessanis hamma dandahameen deebisee maxxansee walirraa baranna Tokko jedhaniit lama jedhu,,
Hate,OPDOn akka Abiyifa Oromo miti jechuudhaa TPLF wajjiniin waggoota  hojjechaa hin turree  Moo maqaa geeddarannaan kiristinnaa kaan seete gantuun Caalaa Bultumee jedhamtuCourtesy for Galaanaa Gaaromsaa kan bakka gantootaa kanatti hin argamin,,
Free,Anatu isa filate tahee isatu na filate tahee hin beekamu,,
Free,Maal jechuudha ,,
Hate,Ofumaa fixaniit shanee jetuu shan siin bulchiin waaqayyoon,,
Free,Yeroo baduu hin qabnetti baddebaga nagaan deebite ,,
Free,Hanga guyyaa haraatti namoota kuma 11 fi 781 dhibichaan qabaman keessaa namoonni 259 duuu isaanii Komishiniin Fayyaa Biyyaaleessa Chaayinaa beeksiseera.,,
Hate,Bilxiginnaan waliigaluu hin dandeeyne garee qomaaxaa,,
Free,Hamaan biyya keenya Itoophiyaa tasuma hin dandau ,,
Free,Hogganaan Biiroo Geejjiba Oromiyaa Gargaaraan Piroofeesaraa Miratuu Shaanqoo harÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢a ibsa midiyaaleef laatanii jiru.,,
Free,Hayyoni OROMO hidhamun bilsummadha Qeerroon tokko tokkon guramani irbata rasasa taha jiran    Nafxanyaan hanga Aanati  angoo harkkati gaalfate   Waarana oromo irraa meeshaan Hiikama jira kuno kayyon issa duba jiru maali,,
Hate,Itti yaadamee Abiyootin qindayyee warri Badhaadhina irratti hojjacha jiraDhimma Amantii godhuuf,,
